Product|No_|Sortorder No_|Estimated Sortorder No_|Date of Reference Filter|Category Filter|Client Filter|Hotel Filter|Contract Status Filter|Brand Filter|Chain Filter|MuseID Filter|Country Filter|Continent Filter|Is Country Rule|Description|Company Filter|Rate Type Filter|Corporate Rate Discount Filter|Multisource|Segment Filter|Commission Type Filter|GTC Rejected Filter|Rate Plan Code Filter|Reservationsource Group Filter
2|140|5|1000010|0|0|0|0|0|0|1|0|1|0|0|TAF Chain, Land|0|0|0|0|0|0|0|0|0
2|141|6|1000000|0|0|0|0|0|0|1|0|0|0|0|TAF Chain, Segment|0|0|0|0|1|0|0|0|0
2|142|7|1000100|0|0|0|0|0|0|1|1|0|0|0|TAF Chain, Muse|0|0|0|0|0|0|0|0|0
2|143|9|1000100|0|0|0|0|0|0|1|1|0|0|0|TAF Chain, Segment, Muse|0|0|0|0|1|0|0|0|0
2|144|10|501000000|0|0|0|0|0|0|1|0|0|0|0|TAF Chain, F_KEY|1|0|0|0|0|0|0|0|0
2|145|11|1000000000|0|0|1|0|0|0|0|0|0|0|0|TAF K_KEY|0|0|0|0|0|0|0|0|0
3|146|1|1000100|0|0|0|0|0|0|1|1|0|0|0|Partner TAF Chain, MUSE|0|0|0|0|0|0|0|0|0
3|147|3|1000100|0|0|0|0|0|0|1|1|0|0|0|Partner TAF Chain, MUSE, Segment, Commission Type|0|0|0|0|1|1|0|0|0
4|148|1|1000100|0|0|0|0|0|0|1|1|0|0|0|Zusatz Kommission Chain, MUSE|0|0|0|0|0|0|0|0|0
5|149|1|1000000|0|0|0|0|0|0|1|0|0|0|0|PFP Chain, Segment|0|0|0|0|1|0|0|0|0
6|150|1|1000000|0|0|0|0|0|0|1|0|0|0|0|Override Chain, Segment|0|0|0|0|1|0|0|0|0
7|151|1|1000000|0|0|0|0|0|0|1|0|0|0|0|Sourcing Fee Chain|0|0|0|0|0|0|0|0|0
2|152|4|1000000|0|0|0|0|0|0|1|0|0|0|0|TAF Chain Commission Type|0|0|0|0|0|1|0|0|0
2|154|8|1000100|0|0|0|0|0|0|1|1|0|0|0|TAF Chain, Commission Type, Muse|0|0|0|0|0|1|0|0|0
3|155|2|1000100|0|0|0|0|0|0|1|1|0|0|0|Partner TAF Chain, MUSE, Commission Type|0|0|0|0|0|1|0|0|0
4|156|2|1000100|0|0|0|0|0|0|1|1|0|0|0|Add. Comm. Chain, Muse, Commission Type|0|0|0|0|0|1|0|0|0
0|157|75|500110000|1|0|0|0|1|0|0|0|0|0|0|TAF AGB 2020 Exclude F_KEY|1|0|0|0|0|1|1|0|0
0|158|83|500000000|0|0|0|0|0|0|0|0|0|0|0|F_KEY|1|0|0|0|0|1|0|0|0
0|159|86|1000000|0|0|0|0|0|0|1|0|0|0|0|Corporate Club Rate Chain (coll. Inv.)|0|1|0|0|0|0|0|0|0
2|160|12|1000000|0|0|0|0|0|0|1|0|0|0|0|Corporate Club Rate Chain|0|1|0|0|0|1|0|0|0
0|161|85|1000100|0|0|0|0|0|0|1|1|0|0|0|Amadeus Multisource Chain (coll. Inv.)|0|0|0|1|0|0|0|0|0
0|163|84|11000100|0|0|0|0|0|1|1|1|0|0|0|Muse/Brand/Chain (coll. Inv.)|0|0|0|0|0|0|0|0|0
2|164|2|11010000|1|0|0|0|0|1|1|0|0|0|0|TAF Chain Brand|0|0|0|0|0|1|0|0|0
0|165|97|1010000|1|0|0|0|0|0|1|0|0|0|0|RAC/Chain/Commission Type|0|0|0|0|0|1|0|1|0
2|166|13|1010000|1|0|0|0|0|0|1|0|0|0|0|RAC/Chain/Commission Type|0|0|0|0|0|1|0|1|0
2|167|14|1000100|0|0|0|0|0|0|1|1|0|0|0|RAC/Chain/Muse/Commission Type|0|0|0|0|0|1|0|1|0
0|168|92|1000010|0|0|0|0|0|0|1|0|1|0|0|RAC/Chain Country|0|0|0|0|0|0|0|1|0
0|169|89|1000010|0|0|0|0|0|0|1|0|1|0|0|Land Chain Segment|0|0|0|0|1|0|0|0|0
6|170|2|1000010|0|0|0|0|0|0|1|0|1|0|0|Override Chain, Segment, Country|0|0|0|0|1|0|0|0|0
0|171|90|1000010|0|0|0|0|0|0|1|0|1|0|0|Land Chain Segment commission type|0|0|0|0|1|1|0|0|0
0|172|94|11000100|0|0|0|0|0|1|1|1|0|0|0|Chain/Segment/Muse/Com.type (Prem.Inn)|0|0|0|0|1|1|0|0|0
0|173|93|1000100|0|0|0|0|0|0|1|1|0|0|0|Chain/Muse (Prem.Inn)|0|0|0|0|0|0|0|0|0
0|174|88|1000010|0|0|0|0|0|0|1|0|1|0|0|Land Chain Kommissiontyp|0|0|0|0|0|1|0|0|0
0|175|96|100|0|0|0|0|0|0|0|1|0|0|0|EAN MS|0|0|0|1|0|0|0|0|0
2|176|3|11010100|1|0|0|0|0|1|1|1|0|0|0|TAF Chain Brand Muse|0|0|0|0|0|1|0|0|0
0|177|41|501010001|1|0|0|0|0|0|1|0|0|1|0|Chain/Kontinent Company Agreement|1|0|0|0|0|0|0|0|0
0|178|36|1110010|1|0|0|0|1|0|1|0|1|0|0|Chain/Land/Contract n. Reservierungsdatum|0|0|0|0|0|0|0|0|0
0|179|60|1000110|0|0|0|0|0|0|1|1|1|0|0|Chain je Land (AMADEUS)|0|0|0|0|0|0|0|0|0
0|180|13|11000000|0|0|0|0|0|1|1|0|0|0|0|Brand/Chain/Segment (ACCOR only)|0|0|0|0|1|0|0|0|0
0|181|77|600000100|0|0|0|1|0|0|0|1|0|0|0|H_KEY + F_KEY + Muse ID (ACS-4037)|1|0|0|0|0|0|0|0|0
0|182|87|1000001|0|0|0|0|0|0|1|0|0|1|0|Chain Segment Commission Type per Continent (ACS-4042)|0|0|0|0|1|1|0|0|0
0|183|91|11000000|0|0|0|0|0|1|1|0|0|0|0|Chain Brand Segment commission type (ACS-4043)|0|0|0|0|1|1|0|0|0
5|184|2|1000100|0|0|0|0|0|0|1|1|0|0|0|PFP Chain, MuseID, Segment (ACS-4035)|0|0|0|0|1|0|0|0|0
5|185|3|1000000|0|0|0|0|0|0|1|0|0|0|0|PFP Chain Commission Type|0|0|0|0|0|1|0|0|0
3|186|5|1000000|0|0|0|0|0|0|1|0|0|0|0|Partnership Fee Chain,Comission Type|0|0|0|0|0|1|0|0|0
0|187|98|100|0|0|0|0|0|0|0|1|0|0|0|Muse/Commission Type|0|0|0|0|0|1|0|0|0
0|188|99|1000000|0|0|0|0|0|0|1|0|0|0|0|Chain/Commission Type|0|0|0|0|0|1|0|0|0
0|189|5|111010|1|1|0|0|1|0|0|0|1|0|0|AGB 2024|0|0|0|0|0|1|1|0|0
